Hu%, Temp: 22.10 Celsius
Humidity: 47.20 %, Temp: 21.90 Celsius
Humidity: 47.00 %, Temp: 21.80 Celsius
Humidity: 46.80 %, Temp: 21.80 Celsius
Humidity: 46.30 %, Temp: 21.80 Celsius
Humidity: 46.00 %, Temp: 21.80 Celsius
Humidity: 45.80 %, Temp: 21.80 Celsius
Humidity: 46.20 %, Temp: 21.80 Celsius
Humidity: 47.10 %, Temp: 21.80 Celsius
Humidity: 47.10 %, Temp: 21.80 Celsius
Humidity: 46.90 %, Temp: 21.80 Celsius
Humidity: 46.40 %, Temp: 21.80 Celsius
Humidity: 46.10 %, Temp: 21.80 Celsius
Humidity: 46.00 %, Temp: 21.80 Celsius
Humidity: 47.10 %, Temp: 21.80 Celsius
Humidity: 46.80 %, Temp: 21.80 Celsius
Humidity: 46.30 %, Temp: 21.80 Celsius
Humidity: 45.90 %, Temp: 21.80 Celsius
Humidity: 45.50 %, Temp: 21.80 Celsius
Humidity: 45.10 %, Temp: 21.80 Celsius
Humidity: 45.50 %, Temp: 21.80 Celsius
Humidity: 45.30 %, Temp: 21.80 Celsius
Humidity: 45.50 %, Temp: 21.80 Celsius
Humidity: 46.60 %, Temp: 21.80 Celsius
Humidity: 46.60 %, Temp: 21.80 Celsius
Humidity: 46.70 %, Temp: 21.70 Celsius
Humidity: 47.30 %, Temp: 21.80 Celsius
Humidity: 47.40 %, Temp: 21.80 Celsius
Humidity: 47.60 %, Temp: 21.80 Celsius
Humidity: 47.40 %, Temp: 21.80 Celsius
Humidity: 47.10 %, Temp: 21.70 Celsius
Humidity: 46.80 %, Temp: 21.70 Celsius
Humidity: 46.50 %, Temp: 21.70 Celsius
Humidity: 46.80 %, Temp: 21.80 Celsius
Humidity: 46.40 %, Temp: 21.70 Celsius
Humidity: 46.70 %, Temp: 21.70 Celsius
Humidity: 47.20 %, Temp: 21.70 Celsius
Humidity: 47.00 %, Temp: 21.70 Celsius
Humidity: 47.00 %, Temp: 21.80 Celsius
Humidity: 46.70 %, Temp: 21.80 Celsius
Humidity: 46.30 %, Temp: 21.70 Celsius
Humidity: 45.80 %, Temp: 21.70 Celsius
Humidity: 45.30 %, Temp: 21.70 Celsius
Humidity: 45.00 %, Temp: 21.70 Celsius
Humidity: 44.60 %, Temp: 21.70 Celsius
Humidity: 44.30 %, Temp: 21.70 Celsius
Humidity: 44.00 %, Temp: 21.70 Celsius
Humidity: 43.80 %, Temp: 21.70 Celsius
Humidity: 43.60 %, Temp: 21.70 Celsius
Humidity: 43.50 %, Temp: 21.70 Celsius
Humidity: 43.40 %, Temp: 21.70 Celsius
Humidity: 43.40 %, Temp: 21.70 Celsius
Humidity: 43.20 %, Temp: 21.70 Celsius
Humidity: 43.00 %, Temp: 21.70 Celsius
Humidity: 42.90 %, Temp: 21.70 Celsius
Humidity: 42.80 %, Temp: 21.70 Celsius
Humidity: 42.60 %, Temp: 21.70 Celsius
Humidity: 42.50 %, Temp: 21.70 Celsius
Humidity: 42.40 %, Temp: 21.70 Celsius
Humidity: 42.30 %, Temp: 21.70 Celsius
Humidity: 42.10 %, Temp: 21.60 Celsius
Humidity: 42.10 %, Temp: 21.70 Celsius
Humidity: 42.10 %, Temp: 21.70 Celsius
Humidity: 42.00 %, Temp: 21.60 Celsius
Humidity: 42.10 %, Temp: 21.70 Celsius
Humidity: 42.00 %, Temp: 21.60 Celsius
Humidity: 42.00 %, Temp: 21.60 Celsius
Humidity: 41.90 %, Temp: 21.60 Celsius
Humidity: 41.90 %, Temp: 21.60 Celsius
Humidity: 42.00 %, Temp: 21.60 Celsius
Humidity: 43.10 %, Temp: 21.60 Celsius
Humidity: 43.60 %, Temp: 21.60 Celsius
Humidity: 43.40 %, Temp: 21.60 Celsius
Humidity: 43.30 %, Temp: 21.60 Celsius
Humidity: 43.20 %, Temp: 21.60 Celsius
Humidity: 43.50 %, Temp: 21.60 Celsius
Humidity: 44.20 %, Temp: 21.60 Celsius
Humidity: 44.50 %, Temp: 21.60 Celsius
Humidity: 44.60 %, Temp: 21.60 Celsius
Humidity: 45.00 %, Temp: 21.60 Celsius
Humidity: 44.60 %, Temp: 21.60 Celsius
Humidity: 44.30 %, Temp: 21.60 Celsius
Humidity: 44.30 %, Temp: 21.60 Celsius
Humidity: 44.60 %, Temp: 21.60 Celsius
Humidity: 44.50 %, Temp: 21.60 Celsius
Humidity: 44.50 %, Temp: 21.60 Celsius
Humidity: 44.40 %, Temp: 21.60 Celsius
Humidity: 44.40 %, Temp: 21.50 Celsius
Humidity: 44.40 %, Temp: 21.50 Celsius
Humidity: 44.30 %, Temp: 21.50 Celsius
Humidity: 44.00 %, Temp: 21.50 Celsius
Humidity: 43.80 %, Temp: 21.50 Celsius
Humidity: 43.50 %, Temp: 21.50 Celsius
Humidity: 43.40 %, Temp: 21.50 Celsius
Humidity: 43.30 %, Temp: 21.50 Celsius